"","X1","second_name","first_name","team_name","position","mean_points_last_5","difficulty_next_5","t_score","t_score_cpt","id"
"465",464,"Choudhury","Hamza","Leicester","Midfielder",0,2.8,0,0,230
"466",465,"Perruchet Silva","Adrien Sebastian","Leicester","Midfielder",0,2.8,0,0,231
"467",466,"Diabaté","Fousseni","Leicester","Midfielder",0,2.8,0,0,232
"468",467,"Ward","Danny","Leicester","Goalkeeper",0,2.8,0,0,105
"469",467,"Ward","Danny","Leicester","Goalkeeper",0,2.8,0,0,457
"470",468,"Benkovic","Filip","Leicester","Defender",0,2.8,0,0,501
"471",469,"Mignolet","Simon","Liverpool","Goalkeeper",0,2.6,0,0,237
"472",470,"Karius","Loris","Liverpool","Goalkeeper",0,2.6,0,0,238
"473",471,"Clyne","Nathaniel","Liverpool","Defender",0,2.6,0,0,241
"474",472,"Klavan","Ragnar","Liverpool","Defender",0,2.6,0,0,244
"475",473,"Oxlade-Chamberlain","Alex","Liverpool","Midfielder",0,2.6,0,0,248
"476",474,"Solanke","Dominic","Liverpool","Forward",0,2.6,0,0,259
"477",475,"Origi","Divock","Liverpool","Forward",0,2.6,0,0,543
"478",476,"Bravo","Claudio","Man City","Goalkeeper",0,3.4,0,0,261
"479",477,"da Silva","Danilo Luiz","Man City","Defender",0,3.4,0,0,266
"480",478,"Gündogan","Ilkay","Man City","Midfielder",0,3.4,0,0,274
"481",479,"Diaz","Brahim","Man City","Midfielder",0,3.4,0,0,278
"482",480,"Muric","Arijanet","Man City","Goalkeeper",0,3.4,0,0,529
"483",481,"Romero","Sergio","Man Utd","Goalkeeper",0,3,0,0,283
"484",482,"Jones","Phil","Man Utd","Defender",0,3,0,0,285
"485",483,"Rojo","Marcos","Man Utd","Defender",0,3,0,0,287
"486",484,"Valencia","Antonio","Man Utd","Defender",0,3,0,0,288
"487",485,"Darmian","Matteo","Man Utd","Defender",0,3,0,0,289
"488",486,"Blind","Daley","Man Utd","Defender",0,3,0,0,290
"489",487,"Bailly","Eric","Man Utd","Defender",0,3,0,0,291
"490",488,"Dalot Teixeira","José Diogo","Man Utd","Defender",0,3,0,0,294
"491",489,"Pereira","Andreas","Man Utd","Midfielder",0,3,0,0,481
"492",490,"Grant","Lee","Man Utd","Goalkeeper",0,3,0,0,520
"493",491,"Elliot","Robert","Newcastle","Goalkeeper",0,2.6,0,0,307
"494",492,"Darlow","Karl","Newcastle","Goalkeeper",0,2.6,0,0,308
"495",493,"Lejeune","Florian","Newcastle","Defender",0,2.6,0,0,314
"496",494,"Mbemba","Chancel","Newcastle","Defender",0,2.6,0,0,316
"497",495,"Merino","Mikel","Newcastle","Midfielder",0,2.6,0,0,322
"498",496,"Hayden","Isaac","Newcastle","Midfielder",0,2.6,0,0,323
"499",497,"Gayle","Dwight","Newcastle","Forward",0,2.6,0,0,325
"500",498,"Schär","Fabian","Newcastle","Defender",0,2.6,0,0,482
"501",499,"Sterry","Jamie","Newcastle","Defender",0,2.6,0,0,530
"502",500,"Longstaff","Sean","Newcastle","Midfielder",0,2.6,0,0,531
"503",501,"Forster","Fraser","Southampton","Goalkeeper",0,3,0,0,329
"504",502,"McQueen","Sam","Southampton","Defender",0,3,0,0,334
"505",503,"Davis","Steven","Southampton","Midfielder",0,3,0,0,337
"506",504,"Boufal","Sofiane","Southampton","Midfielder",0,3,0,0,341
"507",505,"Sims","Joshua","Southampton","Midfielder",0,3,0,0,342
"508",506,"Carrillo","Guido","Southampton","Forward",0,3,0,0,350
"509",507,"Gunn","Angus","Southampton","Goalkeeper",0,3,0,0,452
"510",508,"Targett","Matt","Southampton","Defender",0,3,0,0,479
"511",509,"Vorm","Michel","Spurs","Goalkeeper",0,3,0,0,352
"512",510,"Walker-Peters","Kyle","Spurs","Defender",0,3,0,0,358
"513",511,"Aurier","Serge","Spurs","Defender",0,3,0,0,360
"514",512,"Nkoudou","Georges-Kévin","Spurs","Midfielder",0,3,0,0,497
"515",513,"Amos","Luke","Spurs","Midfielder",0,3,0,0,523
"516",514,"Whiteman","Alfie","Spurs","Goalkeeper",0,3,0,0,538
"517",515,"Skipp","Oliver","Spurs","Midfielder",0,3,0,0,540
"518",516,"Foyth","Juan","Spurs","Defender",0,3,0,0,549
"519",517,"Gomes","Heurelho","Watford","Goalkeeper",0,3.4,0,0,373
"520",518,"Dahlberg","Pontus","Watford","Goalkeeper",0,3.4,0,0,374
"521",519,"Kaboul","Younes","Watford","Defender",0,3.4,0,0,375
"522",520,"Britos","Miguel","Watford","Defender",0,3.4,0,0,379
"523",521,"Janmaat","Daryl","Watford","Defender",0,3.4,0,0,381
"524",522,"Zeegelaar","Marvin","Watford","Defender",0,3.4,0,0,384
"525",523,"Cleverley","Tom","Watford","Midfielder",0,3.4,0,0,388
"526",524,"Okaka","Stefano","Watford","Forward",0,3.4,0,0,397
"527",525,"Sinclair","Jerome","Watford","Forward",0,3.4,0,0,398
"528",526,"Quina","Domingos","Watford","Midfielder",0,3.4,0,0,517
"529",527,"San Miguel del Castillo","Adrián","West Ham","Goalkeeper",0,2.6,0,0,399
"530",528,"Reid","Winston","West Ham","Defender",0,2.6,0,0,401
"531",529,"Byram","Sam","West Ham","Defender",0,2.6,0,0,404
"532",530,"Oxford","Reece","West Ham","Defender",0,2.6,0,0,407
"533",531,"Fredericks","Ryan","West Ham","Defender",0,2.6,0,0,408
"534",532,"Lanzini","Manuel","West Ham","Midfielder",0,2.6,0,0,414
"535",533,"Fernandes","Edimilson","West Ham","Midfielder",0,2.6,0,0,416
"536",534,"Carroll","Andy","West Ham","Forward",0,2.6,0,0,418
"537",535,"Hugill","Jordan","West Ham","Forward",0,2.6,0,0,420
"538",536,"Wilshere","Jack","West Ham","Midfielder",0,2.6,0,0,447
"539",537,"Sánchez","Carlos","West Ham","Midfielder",0,2.6,0,0,518
"540",538,"Powell","Joe","West Ham","Midfielder",0,2.6,0,0,547
"541",539,"Coventry","Conor","West Ham","Midfielder",0,2.6,0,0,548
"542",540,"Ruddy","John","Wolves","Goalkeeper",0,2.8,0,0,421
"543",541,"Norris","Will","Wolves","Goalkeeper",0,2.8,0,0,422
"544",542,"Douglas","Barry","Wolves","Defender",0,2.8,0,0,424
"545",543,"Batth","Danny","Wolves","Defender",0,2.8,0,0,428
"546",544,"Gonçalves Miranda","Roderick Jefferson","Wolves","Defender",0,2.8,0,0,429
"547",545,"Enobakhare","Bright","Wolves","Midfielder",0,2.8,0,0,436
"548",546,"Mir","Rafa","Wolves","Forward",0,2.8,0,0,449
"549",547,"Dendoncker","Leander","Wolves","Midfielder",0,2.8,0,0,519
"550",548,"Hause","Kortney","Wolves","Defender",0,2.8,0,0,525
"551",549,"Kabasele","Christian","Watford","Defender",-0.4,3.4,-0.12,-0.2,380
"552",550,"Chambers","Calum","Fulham","Defender",-0.2,3.6,-0.06,-0.04,9
